,t1_general_traditional_WIN%,t2_general_traditional_WIN%,t1_general_traditional_PTS,t2_general_traditional_PTS,t1_general_traditional_BLK,t2_general_traditional_BLK,t1_general_traditional_+/-,t2_general_traditional_+/-,t1_general_advanced_NetRtg,t2_general_advanced_NetRtg,t1_general_advanced_PIE,t2_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t2_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Steals,t2_general_opponent_Opponent's Steals,t1_clutch-traditional_Personal Fouls,t2_clutch-traditional_Personal Fouls,t1_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-advanced_Offensive Rebounding Percentage,t1_clutch-advanced_Pace,t2_clutch-advanced_Pace,t1_clutch-advanced_Player Impact Estimate,t2_clutch-advanced_Player Impact Estimate,t1_seed,t2_seed,t1_general_traditional_FT%,t2_general_traditional_FT%,t1_general_advanced_DefRtg,t2_general_advanced_DefRtg,t1_general_advanced_POSS,t2_general_advanced_POSS,t1_general_defense_OPP_PTS_2ND_CHANCE,t2_general_defense_OPP_PTS_2ND_CHANCE,t1_clutch-traditional_Field Goal Percentage,t2_clutch-traditional_Field Goal Percentage,t1_clutch-traditional_Assists,t2_clutch-traditional_Assists
112,69.5,70.7,117.7,114.4,6.4,5.3,6.5,6.1,6.5,5.8,54.6,53.3,34.7,34.5,7.7,7.6,2.3,2.6,23.2,33.3,104.8,96.95,54.1,54.2,1.0,2.0,80.1,80.4,108.6,106.8,8390.0,8334.0,13.8,12.9,43.3,43.2,1.6,1.8
113,63.6,69.69999999999999,97.7,98.5,5.4,5.4,3.3,6.0,3.3,6.4,52.1,55.3,35.1,36.3,6.6,8.3,2.2,2.3,45.7,27.3,99.68,96.25,68.5,58.4,3.0,2.0,78.2,77.5,102.1,99.2,6115.0,6154.0,13.0,13.1,39.1,43.7,1.8,1.6
114,50.0,68.30000000000001,92.6,94.7,5.9,5.0,-0.2,4.3,-0.2,4.6,51.0,53.6,33.6,34.2,7.2,8.2,2.7,2.5,34.6,33.7,92.66,94.26,51.5,55.6,8.0,1.0,76.6,74.5,100.5,97.3,7566.0,7619.0,13.3,12.6,37.3,39.4,1.8,1.5
115,81.69999999999999,74.4,115.9,105.3,6.8,5.9,11.6,7.2,11.4,7.4,57.9,55.1,32.4,34.4,8.6,7.5,2.0,1.6,37.5,31.8,98.98,101.82,56.7,68.0,1.0,2.0,78.8,79.7,103.4,102.9,8279.0,7832.0,14.0,12.4,41.7,42.9,1.9,1.6
116,68.30000000000001,61.0,100.6,95.4,6.0,5.1,3.4,4.2,3.5,4.2,53.2,54.4,35.4,36.8,7.5,7.9,2.6,2.2,33.9,32.8,100.92,92.93,58.9,55.0,2.0,7.0,68.3,76.2,103.6,100.5,7710.0,7475.0,13.5,12.6,44.4,46.8,1.3,1.4
117,61.0,74.4,99.2,102.1,4.9,5.2,3.7,6.5,3.7,6.8,54.0,55.2,34.2,34.7,7.0,6.6,1.8,1.5,30.4,34.1,92.15,97.53,61.2,68.4,4.0,1.0,74.6,72.0,103.2,103.8,7609.0,7573.0,12.8,11.7,43.2,45.6,1.4,1.2
118,64.60000000000001,81.69999999999999,103.1,110.0,4.1,6.0,4.5,10.1,4.8,9.9,51.4,56.9,34.3,33.7,7.8,8.3,2.1,1.3,41.9,34.8,95.26,106.84,54.1,65.2,2.0,1.0,75.1,76.8,105.3,100.4,7682.0,8170.0,12.4,14.2,40.8,43.5,1.2,1.5
119,67.10000000000001,74.4,115.3,105.3,4.3,5.9,5.8,7.2,5.7,7.4,51.6,55.1,34.3,34.4,8.5,7.5,2.0,1.6,28.5,31.8,104.74,101.82,47.9,68.0,3.0,2.0,76.6,79.7,108.4,102.9,8289.0,7832.0,13.8,12.4,40.9,42.9,1.1,1.6
120,60.5,80.5,94.7,102.9,6.3,5.4,4.0,7.9,4.4,8.2,53.7,56.4,32.7,35.0,7.5,7.9,1.7,1.6,40.4,37.0,95.73,94.43,60.6,75.6,3.0,1.0,74.6,75.4,99.0,103.2,7420.0,7572.0,12.9,14.7,38.4,48.8,1.3,2.2
121,56.89999999999999,63.9,113.7,120.1,4.8,4.6,2.3,5.9,2.2,5.8,51.1,53.3,34.9,38.4,7.7,7.0,1.8,1.4,22.9,23.0,102.14,106.52,46.6,52.0,5.0,3.0,81.2,76.0,112.1,110.7,7160.0,7423.0,13.2,13.0,47.1,45.5,1.5,1.3
122,70.7,59.8,101.3,96.6,5.8,4.5,7.1,3.0,7.6,3.3,54.9,51.8,31.7,36.3,7.2,7.5,2.5,2.2,31.3,39.1,99.25,96.89,60.2,54.7,3.0,6.0,69.9,76.3,100.4,102.6,7691.0,7482.0,14.6,12.6,42.0,42.4,1.4,1.4
123,64.60000000000001,61.0,113.9,111.7,4.9,5.9,4.8,5.3,4.8,5.0,49.8,53.9,34.0,35.5,7.4,8.5,2.1,2.1,34.0,40.0,98.53,106.97,49.2,53.2,4.0,5.0,79.1,73.6,110.1,105.3,8130.0,8308.0,13.7,11.2,38.7,42.7,0.9,1.1
124,69.69999999999999,71.2,98.5,103.1,5.4,8.2,6.0,6.1,6.4,6.3,55.3,54.2,36.3,34.2,8.3,8.2,2.3,2.8,27.3,29.2,96.25,99.19,58.4,54.5,2.0,2.0,77.5,80.6,99.2,102.1,6154.0,6273.0,13.1,14.7,43.7,39.3,1.6,1.2
125,62.2,62.2,111.8,115.5,5.8,4.0,7.3,3.4,7.4,3.2,54.7,51.6,33.9,35.6,7.5,7.4,2.6,1.7,23.7,34.1,100.89,102.06,45.0,59.5,2.0,3.0,81.6,77.6,106.2,111.1,8068.0,8284.0,12.5,12.9,40.1,47.1,1.6,1.1
