,t1_general_traditional_WIN%,t1_general_traditional_3PM,t1_general_traditional_+/-,t1_general_advanced_NetRtg,t1_general_advanced_AST,t1_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Free Throw Percentage,t1_general_opponent_Opponent's Turnovers,t1_clutch-traditional_Win Percentage,t1_clutch-advanced_Defensive Rebounding Percentage,t1_seed,t2_general_traditional_WIN%,t2_general_traditional_FTM,t2_general_traditional_PFD,t2_general_traditional_+/-,t2_general_advanced_OffRtg,t2_general_advanced_NetRtg,t2_general_advanced_POSS,t2_general_opponent_Opponent's 3 Point Field Goals Made,t2_general_opponent_Opponent's Rebounds,t2_clutch-traditional_3 Point Field Goals Made,t2_clutch-traditional_Free Throw Percentage,t2_clutch-opponent_Opponent's Field Goals Made,t2_seed
223,81.69999999999999,10.8,10.1,9.9,19.7,56.9,33.7,76.3,16.2,74.2,65.7,1.0,67.10000000000001,17.6,20.3,3.2,104.8,3.5,7696.0,8.1,42.4,0.6,83.2,2.8,5.0
224,59.8,4.2,5.2,5.4,17.6,54.4,35.9,74.9,16.6,43.2,59.9,2.0,73.2,19.4,0.0,5.4,103.9,5.8,7558.0,4.3,40.9,0.5,70.1,2.5,1.0
225,61.0,7.0,2.0,2.0,17.0,52.2,37.5,79.8,13.0,62.8,68.1,6.0,65.9,23.1,23.7,3.4,109.0,3.4,7848.0,7.3,41.2,0.7,74.6,2.4,2.0
226,61.0,7.9,3.0,3.0,16.6,52.9,33.5,74.9,12.2,66.0,67.0,3.0,50.0,16.0,20.1,0.4,102.0,0.6,7867.0,8.2,42.9,0.6,77.1,3.0,6.0
227,61.0,12.0,0.9,1.0,17.5,50.2,36.8,75.6,13.5,66.7,76.4,4.0,58.5,14.9,18.5,1.4,108.5,1.3,7977.0,10.6,43.0,0.7,81.1,2.2,5.0
228,50.0,6.8,0.6,0.7,16.9,50.1,35.1,77.7,15.0,54.7,71.5,7.0,63.4,19.7,23.6,3.9,107.5,4.1,7622.0,6.0,38.8,0.5,73.0,2.5,2.0
229,61.0,12.0,0.9,1.0,17.5,50.2,36.8,75.6,13.5,66.7,76.4,4.0,72.0,17.3,19.9,7.8,113.0,7.7,8104.0,8.9,42.4,0.6,78.2,2.7,1.0
230,51.2,12.8,-0.1,-0.1,16.9,49.2,34.1,77.0,13.5,54.5,59.6,6.0,62.2,21.2,22.1,2.7,111.6,2.6,8467.0,10.3,43.5,0.8,75.0,2.7,3.0
231,61.1,15.6,3.0,2.7,15.5,49.4,34.9,76.1,16.2,59.4,64.6,4.0,73.2,17.7,21.7,5.8,111.7,5.6,7211.0,11.6,42.3,1.0,69.0,2.4,1.0
232,67.10000000000001,5.2,3.2,3.5,16.9,53.0,35.1,74.2,15.3,68.2,70.3,5.0,62.2,15.5,18.7,4.2,107.1,4.3,7868.0,6.4,44.6,0.8,82.6,2.6,4.0
233,63.4,13.1,3.3,3.5,17.8,51.1,34.0,76.7,13.1,57.9,67.6,4.0,59.8,17.9,20.3,6.0,116.2,6.2,8014.0,12.1,41.6,0.9,69.4,2.7,5.0
234,48.8,8.0,0.2,0.3,18.0,49.8,33.6,75.5,15.1,44.4,71.7,7.0,64.60000000000001,17.7,20.5,4.5,110.1,4.8,7682.0,7.7,41.1,0.8,81.4,2.2,2.0
235,53.7,4.2,1.0,1.2,16.7,51.3,37.5,76.8,13.9,55.1,68.2,4.0,63.4,17.1,0.1,4.2,102.4,4.3,7707.0,5.0,42.9,0.5,73.2,2.6,1.0
236,73.2,5.1,6.1,6.7,14.6,55.1,36.1,75.2,14.0,72.7,67.9,4.0,63.4,19.7,23.6,3.9,107.5,4.1,7622.0,6.0,38.8,0.5,73.0,2.5,2.0
237,65.3,12.9,4.9,4.8,19.3,52.5,36.3,77.3,14.1,58.1,68.3,3.0,70.8,15.6,18.0,5.8,116.3,5.9,7137.0,11.6,42.7,1.0,79.3,3.0,2.0
238,53.7,5.6,1.5,1.9,16.1,51.8,33.8,74.3,15.3,50.0,64.3,7.0,72.0,19.2,22.2,7.5,110.7,7.9,7614.0,6.4,40.0,0.6,72.0,2.2,2.0
239,62.2,4.0,2.2,2.3,17.5,52.1,34.9,76.1,17.5,63.0,68.5,6.0,67.10000000000001,19.5,0.0,5.8,104.2,5.7,8010.0,4.9,45.9,0.4,77.8,3.0,3.0
240,65.9,4.1,5.8,6.5,16.6,55.8,30.2,74.4,16.0,55.6,71.4,3.0,50.0,20.7,0.0,1.1,104.6,1.1,7682.0,5.6,42.7,0.3,81.0,2.3,6.0
241,53.7,6.1,-0.8,-0.7,17.7,49.3,33.8,77.4,12.5,53.7,66.9,5.0,75.6,18.2,20.1,7.3,107.2,7.8,7542.0,5.2,38.4,0.5,77.5,2.6,1.0
242,80.5,8.0,8.9,9.6,16.4,55.9,33.3,77.0,13.9,71.9,69.7,1.0,47.6,16.9,19.7,-0.5,105.8,-0.6,7302.0,5.3,40.4,0.4,80.0,2.5,8.0
243,81.69999999999999,6.5,7.2,7.6,16.0,55.2,34.9,74.6,14.5,84.2,71.7,1.0,51.2,18.5,22.3,-0.3,106.2,-0.3,8228.0,7.4,46.4,0.6,73.6,2.4,8.0
244,67.10000000000001,8.3,7.3,7.4,16.7,54.6,34.2,75.6,13.0,50.0,66.1,3.0,81.69999999999999,16.4,19.5,10.6,109.3,11.1,7767.0,6.6,40.5,0.4,75.6,2.1,2.0
245,64.60000000000001,10.1,4.5,4.8,17.1,51.4,34.3,74.5,13.3,60.6,58.5,2.0,81.69999999999999,16.0,18.8,10.1,110.4,9.9,8170.0,7.2,44.5,0.6,85.7,2.2,1.0
246,57.3,3.9,1.4,1.6,19.0,51.8,35.1,72.4,15.2,53.5,61.5,8.0,70.7,20.4,0.0,7.8,105.0,8.3,7514.0,4.2,41.5,0.6,66.0,3.0,1.0
247,73.2,7.8,7.8,8.3,17.3,54.6,34.0,72.7,16.1,60.5,66.3,3.0,72.0,16.7,0.0,6.5,104.4,6.6,7987.0,4.5,45.8,0.4,73.5,2.6,2.0
